date,product,sales,day,month,weekday,lag_1,lag_7,forecast
2024-04-11,Product_1,83,11,4,3,71.0,75.0,75.8476765130841
2024-04-12,Product_1,75,12,4,4,83.0,75.0,79.45817964380046
2024-04-13,Product_1,67,13,4,5,75.0,79.0,76.9714412880132
2024-04-14,Product_1,69,14,4,6,67.0,76.0,72.81170519742487
2024-04-15,Product_1,70,15,4,0,69.0,77.0,73.49382759244519
2024-04-16,Product_1,75,16,4,1,70.0,66.0,67.34663919723143
2024-04-17,Product_1,72,17,4,2,75.0,71.0,72.55664585190328
2024-04-18,Product_1,71,18,4,3,72.0,83.0,76.681479488174
2024-04-19,Product_1,74,19,4,4,71.0,75.0,75.3382317980867
2024-04-20,Product_1,76,20,4,5,74.0,67.0,71.9976796786726
2024-04-21,Product_1,72,21,4,6,76.0,69.0,73.01150430166706
2024-04-22,Product_1,70,22,4,0,72.0,70.0,70.87620119391063
2024-04-23,Product_1,71,23,4,1,70.0,75.0,73.46093392911905
2024-04-24,Product_1,74,24,4,2,71.0,72.0,71.68865404449052
2024-04-25,Product_1,72,25,4,3,74.0,71.0,73.32458436217746
2024-04-26,Product_1,76,26,4,4,72.0,74.0,75.70039683100619
2024-04-27,Product_1,66,27,4,5,76.0,76.0,76.95993171754782
2024-04-28,Product_1,67,28,4,6,66.0,72.0,67.2842868261026
2024-04-29,Product_1,75,29,4,0,67.0,70.0,66.85100686398434
2024-04-30,Product_1,67,30,4,1,75.0,71.0,73.61259001409385
2024-05-01,Product_1,78,1,5,2,67.0,74.0,73.91067349126128
2024-05-02,Product_1,77,2,5,3,78.0,72.0,77.26575839414792
2024-05-03,Product_1,77,3,5,4,77.0,76.0,77.62270981486621
2024-05-04,Product_1,65,4,5,5,77.0,66.0,73.85519106433361
2024-05-05,Product_1,70,5,5,6,65.0,67.0,64.21160812947495
2024-05-06,Product_1,67,6,5,0,70.0,75.0,74.08014749805818
2024-05-07,Product_1,74,7,5,1,67.0,67.0,65.04251059118408
2024-05-08,Product_1,77,8,5,2,74.0,78.0,77.12867697958262
2024-05-09,Product_1,73,9,5,3,77.0,77.0,77.68078674606319
2024-05-10,Product_1,68,10,5,4,73.0,77.0,76.76456690104841
2024-05-11,Product_1,66,11,5,5,68.0,65.0,65.80656341931179
2024-05-12,Product_1,71,12,5,6,66.0,70.0,65.92919995860618
2024-05-13,Product_1,61,13,5,0,71.0,67.0,69.13503782599457
2024-05-14,Product_1,70,14,5,1,61.0,74.0,67.14751806992804
2024-05-15,Product_1,62,15,5,2,70.0,77.0,73.52445882685237
2024-05-16,Product_1,70,16,5,3,62.0,73.0,67.4043573330995
2024-05-17,Product_1,66,17,5,4,70.0,68.0,67.3099719450131
2024-05-18,Product_1,64,18,5,5,66.0,66.0,64.75521293732159
2024-05-19,Product_1,62,19,5,6,64.0,71.0,65.34025075707825
2024-05-20,Product_1,64,20,5,0,62.0,61.0,62.03696571834669
2024-05-21,Product_1,68,21,5,1,64.0,70.0,64.91830519427245
2024-05-22,Product_1,71,22,5,2,68.0,62.0,65.35936794528942
2024-05-23,Product_1,68,23,5,3,71.0,70.0,70.2378177209355
2024-05-24,Product_1,72,24,5,4,68.0,66.0,67.35298068540872
2024-05-25,Product_1,77,25,5,5,72.0,64.0,70.15512816899768
2024-05-26,Product_1,63,26,5,6,77.0,62.0,70.57973175555622
2024-05-27,Product_1,63,27,5,0,63.0,64.0,62.76418489873693
2024-05-28,Product_1,57,28,5,1,63.0,68.0,63.308667140490385
2024-05-29,Product_1,70,29,5,2,57.0,71.0,64.84780598162378
2024-05-30,Product_1,70,30,5,3,70.0,68.0,67.26991501311811
2024-05-31,Product_1,59,31,5,4,70.0,72.0,68.47182802655625
2024-06-01,Product_1,66,1,6,5,59.0,77.0,64.97226262459749
2024-06-02,Product_1,69,2,6,6,66.0,63.0,63.296524156550426
2024-06-03,Product_1,64,3,6,0,69.0,63.0,64.79475940938896
2024-06-04,Product_1,67,4,6,1,64.0,57.0,61.87863715248752
2024-06-05,Product_1,64,5,6,2,67.0,70.0,65.67093590232622
2024-06-06,Product_1,56,6,6,3,64.0,70.0,64.46860841930572
2024-06-07,Product_1,68,7,6,4,56.0,59.0,61.171487182055884
2024-06-08,Product_1,69,8,6,5,68.0,66.0,66.5623040891787
2024-06-09,Product_1,66,9,6,6,69.0,69.0,67.01509025605529
2024-06-10,Product_1,57,10,6,0,66.0,64.0,63.46320797273598
2024-06-11,Product_1,58,11,6,1,57.0,67.0,62.69020472864361
2024-06-12,Product_1,56,12,6,2,58.0,64.0,62.273748194833786
2024-06-13,Product_1,65,13,6,3,56.0,56.0,60.50425349300852
2024-06-14,Product_1,68,14,6,4,65.0,68.0,64.52539946573516
2024-06-15,Product_1,63,15,6,5,68.0,69.0,67.01944257602256
2024-06-16,Product_1,66,16,6,6,63.0,66.0,63.49970560839904
2024-06-17,Product_1,57,17,6,0,66.0,57.0,61.77519982335321
2024-06-18,Product_1,62,18,6,1,57.0,58.0,61.295413864867854
2024-06-19,Product_1,54,19,6,2,62.0,56.0,61.495516723662476
2024-06-20,Product_1,57,20,6,3,54.0,65.0,59.99372935725133
2024-06-21,Product_1,65,21,6,4,57.0,68.0,63.078025195864576
2024-06-22,Product_1,60,22,6,5,65.0,63.0,63.280772624702855
2024-06-23,Product_1,67,23,6,6,60.0,66.0,63.02535464946861
2024-06-24,Product_1,63,24,6,0,67.0,57.0,62.527836366216484
2024-06-25,Product_1,74,25,6,1,63.0,62.0,62.58000672648929
2024-06-26,Product_1,61,26,6,2,74.0,54.0,64.94145317843748
2024-06-27,Product_1,54,27,6,3,61.0,57.0,61.34191377877003
2024-06-28,Product_1,60,28,6,4,54.0,65.0,59.72842918456781
2024-06-29,Product_1,56,29,6,5,60.0,60.0,61.68980227342265
2024-06-30,Product_1,65,30,6,6,56.0,67.0,63.0829810893511
2024-07-01,Product_1,61,1,7,0,65.0,63.0,62.45627272294328
2024-07-02,Product_1,60,2,7,1,61.0,74.0,64.61082618485096
2024-07-03,Product_1,60,3,7,2,60.0,61.0,61.47578489855379
2024-07-04,Product_1,64,4,7,3,60.0,54.0,60.74178538939768
2024-07-05,Product_1,58,5,7,4,64.0,60.0,61.95328383444191
2024-07-06,Product_1,64,6,7,5,58.0,56.0,61.184386021329836
2024-07-07,Product_1,66,7,7,6,64.0,65.0,63.308351665678224
2024-07-08,Product_1,59,8,7,0,66.0,61.0,62.244321766240574
2024-07-09,Product_1,56,9,7,1,59.0,60.0,61.43138902000035
2024-07-10,Product_1,58,10,7,2,56.0,60.0,61.256797350303266
2024-07-11,Product_1,64,11,7,3,58.0,64.0,62.29069260615704
2024-07-12,Product_1,61,12,7,4,64.0,58.0,61.90215121082716
2024-07-13,Product_1,64,13,7,5,61.0,64.0,62.44333520416586
2024-07-14,Product_1,70,14,7,6,64.0,66.0,64.02371809844875
2024-07-15,Product_1,62,15,7,0,70.0,59.0,62.3512812369229
2024-07-16,Product_1,57,16,7,1,62.0,56.0,61.45355251073004
2024-07-17,Product_1,67,17,7,2,57.0,58.0,61.31250430505307
2024-07-18,Product_1,62,18,7,3,67.0,64.0,63.787650307631445
2024-07-19,Product_1,66,19,7,4,62.0,61.0,61.8961818439514
2024-07-20,Product_1,67,20,7,5,66.0,64.0,63.69249262061987
2024-07-21,Product_1,57,21,7,6,67.0,70.0,65.82954577315141
2024-07-22,Product_1,69,22,7,0,57.0,62.0,61.63515427154232
2024-07-23,Product_1,67,23,7,1,69.0,57.0,63.95369641173888
2024-07-24,Product_1,59,24,7,2,67.0,67.0,64.83676542255077
2024-07-25,Product_1,64,25,7,3,59.0,62.0,61.771581396622615
2024-07-26,Product_1,64,26,7,4,64.0,66.0,63.77462512054381
2024-07-27,Product_1,63,27,7,5,64.0,67.0,63.737226941554894
2024-07-28,Product_1,67,28,7,6,63.0,57.0,62.327903747386685
2024-07-29,Product_1,70,29,7,0,67.0,69.0,65.7622939477505
2024-07-30,Product_1,63,30,7,1,70.0,67.0,66.93753983473306
2024-07-31,Product_1,70,31,7,2,63.0,59.0,62.50866973688548
2024-08-01,Product_1,68,1,8,3,70.0,64.0,65.41067298705312
2024-08-02,Product_1,65,2,8,4,68.0,64.0,65.46335836690254
2024-08-03,Product_1,65,3,8,5,65.0,63.0,63.13586969172366
2024-08-04,Product_1,58,4,8,6,65.0,67.0,64.11998300834408
2024-08-05,Product_1,57,5,8,0,58.0,70.0,63.72729734490251
2024-08-06,Product_1,65,6,8,1,57.0,63.0,62.110169260211954
2024-08-07,Product_1,60,7,8,2,65.0,70.0,65.05193685159234
2024-08-08,Product_1,65,8,8,3,60.0,68.0,63.3489053456933
2024-08-09,Product_1,63,9,8,4,65.0,65.0,63.50852903801583
2024-08-10,Product_1,56,10,8,5,63.0,65.0,62.95660632431831
2024-08-11,Product_1,67,11,8,6,56.0,58.0,61.49242827604555
2024-08-12,Product_1,64,12,8,0,67.0,57.0,61.974229124170186
2024-08-13,Product_1,66,13,8,1,64.0,65.0,63.30237539766593
2024-08-14,Product_1,62,14,8,2,66.0,60.0,62.00327184104409
2024-08-15,Product_1,65,15,8,3,62.0,65.0,62.80126623981792
2024-08-16,Product_1,75,16,8,4,65.0,63.0,63.09570589019917
2024-08-17,Product_1,68,17,8,5,75.0,56.0,66.5273752493767
2024-08-18,Product_1,70,18,8,6,68.0,67.0,66.65372685723467
2024-08-19,Product_1,61,19,8,0,70.0,64.0,65.49989863293412
2024-08-20,Product_1,80,20,8,1,61.0,66.0,63.319222602482185
2024-08-21,Product_1,77,21,8,2,80.0,62.0,74.9760243993513
2024-08-22,Product_1,75,22,8,3,77.0,65.0,74.33534685647503
2024-08-23,Product_1,73,23,8,4,75.0,75.0,76.55084411394644
2024-08-24,Product_1,69,24,8,5,73.0,68.0,72.06730128762737
2024-08-25,Product_1,71,25,8,6,69.0,70.0,68.23080440758773
2024-08-26,Product_1,75,26,8,0,71.0,61.0,68.81172901853061
2024-08-27,Product_1,66,27,8,1,75.0,80.0,77.4145117895624
2024-08-28,Product_1,68,28,8,2,66.0,77.0,72.75402647630666
2024-08-29,Product_1,62,29,8,3,68.0,75.0,73.21162255325756
2024-08-30,Product_1,66,30,8,4,62.0,73.0,65.86784513216845
2024-08-31,Product_1,79,31,8,5,66.0,69.0,66.61983299402664
2024-09-01,Product_1,69,1,9,6,79.0,71.0,77.47573517859729
2024-09-02,Product_1,70,2,9,0,69.0,75.0,74.82252688457294
2024-09-03,Product_1,73,3,9,1,70.0,66.0,66.83079703415714
2024-09-04,Product_1,64,4,9,2,73.0,68.0,71.88800397094349
2024-09-05,Product_1,77,5,9,3,64.0,62.0,62.36425108408883
2024-09-06,Product_1,78,6,9,4,77.0,66.0,74.4937798820746
2024-09-07,Product_1,74,7,9,5,78.0,79.0,78.74413438287449
2024-09-08,Product_1,81,8,9,6,74.0,69.0,72.26839791352663
2024-09-09,Product_1,66,9,9,0,81.0,70.0,74.78263254371318
2024-09-10,Product_1,82,10,9,1,66.0,73.0,72.53447323227142
2024-09-11,Product_1,70,11,9,2,82.0,64.0,74.31409936582892
2024-09-12,Product_1,67,12,9,3,70.0,77.0,74.11255203124121
2024-09-13,Product_1,73,13,9,4,67.0,78.0,73.99399310375266
2024-09-14,Product_1,83,14,9,5,73.0,74.0,76.04855885320961
2024-09-15,Product_1,74,15,9,6,83.0,81.0,80.03217574258088
2024-09-16,Product_1,70,16,9,0,74.0,66.0,71.68946317533202
2024-09-17,Product_1,68,17,9,1,70.0,82.0,75.22243496968414
2024-09-18,Product_1,75,18,9,2,68.0,70.0,67.78581124252017
2024-09-19,Product_1,65,19,9,3,75.0,67.0,72.56371067860042
2024-09-20,Product_1,69,20,9,4,65.0,73.0,71.06827052418936
2024-09-21,Product_1,83,21,9,5,69.0,83.0,77.18930391968026
2024-09-22,Product_1,83,22,9,6,83.0,74.0,79.06269192791423
2024-09-23,Product_1,76,23,9,0,83.0,70.0,75.96414998340482
2024-09-24,Product_1,74,24,9,1,76.0,68.0,73.75795721508548
2024-09-25,Product_1,77,25,9,2,74.0,75.0,76.53059038351483
2024-09-26,Product_1,89,26,9,3,77.0,65.0,74.6214921588629
2024-09-27,Product_1,79,27,9,4,89.0,69.0,77.70383396635297
2024-09-28,Product_1,82,28,9,5,79.0,83.0,79.92780694249831
2024-09-29,Product_1,76,29,9,6,82.0,83.0,81.44061181970527
2024-09-30,Product_1,78,30,9,0,76.0,76.0,77.40997572547977
2024-10-01,Product_1,81,1,10,1,78.0,74.0,78.546395690972
2024-10-02,Product_1,79,2,10,2,81.0,77.0,79.9114444497164
2024-10-03,Product_1,69,3,10,3,79.0,89.0,80.36849921987452
2024-10-04,Product_1,85,4,10,4,69.0,79.0,77.43452281652175
2024-10-05,Product_1,75,5,10,5,85.0,82.0,80.98032601608978
2024-10-06,Product_1,89,6,10,6,75.0,76.0,77.72033208283379
2024-10-07,Product_1,82,7,10,0,89.0,78.0,81.78146008617635
2024-10-08,Product_1,79,8,10,1,82.0,81.0,80.07448612543821
2024-10-09,Product_1,81,9,10,2,79.0,79.0,79.08577469431711
2024-10-10,Product_1,79,10,10,3,81.0,69.0,75.83717778716729
2024-10-11,Product_1,77,11,10,4,79.0,85.0,79.74458641679944
2024-10-12,Product_1,80,12,10,5,77.0,75.0,77.6059375699641
2024-10-13,Product_1,84,13,10,6,80.0,89.0,82.85820283686284
2024-10-14,Product_1,77,14,10,0,84.0,82.0,80.77629998609721
2024-10-15,Product_1,77,15,10,1,77.0,79.0,78.36493840763812
2024-10-16,Product_1,78,16,10,2,77.0,81.0,78.78689211299226
2024-10-17,Product_1,85,17,10,3,78.0,79.0,78.91056070301515
2024-10-18,Product_1,87,18,10,4,85.0,77.0,79.93887522905214
2024-10-19,Product_1,82,19,10,5,87.0,80.0,80.00392230977623
2024-10-20,Product_1,83,20,10,6,82.0,84.0,80.9160616468666
2024-10-21,Product_1,77,21,10,0,83.0,77.0,79.76844290988035
2024-10-22,Product_1,85,22,10,1,77.0,77.0,78.23634293108559
2024-10-23,Product_1,83,23,10,2,85.0,78.0,79.87933660256827
2024-10-24,Product_1,77,24,10,3,83.0,85.0,81.06991366526674
2024-10-25,Product_1,71,25,10,4,77.0,87.0,80.85447533294655
2024-10-26,Product_1,74,26,10,5,71.0,82.0,76.97082630106975
2024-10-27,Product_1,77,27,10,6,74.0,83.0,78.74366717442074
2024-10-28,Product_1,86,28,10,0,77.0,77.0,78.44260053853027
2024-10-29,Product_1,88,29,10,1,86.0,85.0,81.67644002279418
2024-10-30,Product_1,78,30,10,2,88.0,83.0,83.5815359551877
2024-10-31,Product_1,78,31,10,3,78.0,77.0,78.854360955645
2024-11-01,Product_1,82,1,11,4,78.0,71.0,77.96349722458093
2024-11-02,Product_1,81,2,11,5,82.0,74.0,79.52474615730819
2024-11-03,Product_1,85,3,11,6,81.0,77.0,79.8314151900025
2024-11-04,Product_1,78,4,11,0,85.0,86.0,81.16505722919638
2024-11-05,Product_1,85,5,11,1,78.0,88.0,84.39683329894818
2024-11-06,Product_1,79,6,11,2,85.0,78.0,80.1516032027217
2024-11-07,Product_1,85,7,11,3,79.0,78.0,79.05699380874096
2024-11-08,Product_1,79,8,11,4,85.0,82.0,80.7108969504588
2024-11-09,Product_1,77,9,11,5,79.0,81.0,79.09591291734648
2024-11-10,Product_1,90,10,11,6,77.0,85.0,79.64127030407201
2024-11-11,Product_1,85,11,11,0,90.0,78.0,82.30851328856241
2024-11-12,Product_1,71,12,11,1,85.0,85.0,80.85993530154396
2024-11-13,Product_1,78,13,11,2,71.0,79.0,76.46259339550078
2024-11-14,Product_1,86,14,11,3,78.0,85.0,79.85013557434569
2024-11-15,Product_1,74,15,11,4,86.0,79.0,79.41504770959963
2024-11-16,Product_1,83,16,11,5,74.0,77.0,77.10891090566876
2024-11-17,Product_1,83,17,11,6,83.0,90.0,86.46603402702095
2024-11-18,Product_1,76,18,11,0,83.0,85.0,80.70854370988457
2024-11-19,Product_1,79,19,11,1,76.0,71.0,74.28032384520031
2024-11-20,Product_1,69,20,11,2,79.0,78.0,78.93669750207432
2024-11-21,Product_1,88,21,11,3,69.0,86.0,79.745318332166
2024-11-22,Product_1,77,22,11,4,88.0,74.0,79.27650953716665
2024-11-23,Product_1,83,23,11,5,77.0,83.0,79.60210006546254
2024-11-24,Product_1,82,24,11,6,83.0,83.0,80.8808811087923
2024-11-25,Product_1,85,25,11,0,82.0,76.0,79.4454034616873
2024-11-26,Product_1,76,26,11,1,85.0,79.0,79.67776498713188
2024-11-27,Product_1,79,27,11,2,76.0,69.0,74.41933446082825
2024-11-28,Product_1,81,28,11,3,79.0,88.0,80.3213443461984
2024-11-29,Product_1,82,29,11,4,81.0,77.0,79.44370929269591
2024-11-30,Product_1,83,30,11,5,82.0,83.0,81.10159650465063
2024-12-01,Product_1,75,1,12,6,83.0,82.0,79.36467860360439
2024-12-02,Product_1,74,2,12,0,75.0,85.0,76.58674270727549
2024-12-03,Product_1,84,3,12,1,74.0,76.0,75.92367248324852
2024-12-04,Product_1,67,4,12,2,84.0,79.0,78.58474261475257
2024-12-05,Product_1,84,5,12,3,67.0,81.0,77.47235181188728
2024-12-06,Product_1,75,6,12,4,84.0,82.0,79.8764785654081
2024-12-07,Product_1,76,7,12,5,75.0,83.0,76.05161806218679
2024-12-08,Product_1,72,8,12,6,76.0,75.0,75.63510313706945
2024-12-09,Product_1,75,9,12,0,72.0,74.0,75.52888721108452
2024-12-10,Product_1,82,10,12,1,75.0,84.0,76.13482437943935
2024-12-11,Product_1,79,11,12,2,82.0,67.0,75.69072478757333
2024-12-12,Product_1,77,12,12,3,79.0,84.0,77.98868662255423
2024-12-13,Product_1,75,13,12,4,77.0,75.0,76.035310035406
2024-12-14,Product_1,67,14,12,5,75.0,76.0,75.19063957190194
2024-12-15,Product_1,70,15,12,6,67.0,72.0,67.03105097613201
2024-12-16,Product_1,72,16,12,0,70.0,75.0,74.43646087039032
2024-12-17,Product_1,76,17,12,1,72.0,82.0,75.65625404867963
2024-12-18,Product_1,74,18,12,2,76.0,79.0,75.86626074865127
2024-12-19,Product_1,78,19,12,3,74.0,77.0,75.49073636589051
2024-12-20,Product_1,75,20,12,4,78.0,75.0,77.05250328150663
2024-12-21,Product_1,73,21,12,5,75.0,67.0,72.56074668087787
2024-12-22,Product_1,84,22,12,6,73.0,70.0,72.6492933580983
2024-12-23,Product_1,74,23,12,0,84.0,72.0,75.53571577734547
2024-12-24,Product_1,70,24,12,1,74.0,76.0,75.14118309059297
2024-12-25,Product_1,81,25,12,2,70.0,74.0,74.55991883011112
2024-12-26,Product_1,78,26,12,3,81.0,78.0,78.42733772515945
2024-12-27,Product_1,80,27,12,4,78.0,75.0,76.9116739011856
2024-12-28,Product_1,70,28,12,5,80.0,73.0,75.97991469317726
2024-12-29,Product_1,76,29,12,6,70.0,84.0,76.81811346652039
2024-12-30,Product_1,63,30,12,0,76.0,74.0,74.6059755928534
2024-01-08,Product_2,61,8,1,0,65.0,58.0,61.71282572986034
2024-01-09,Product_2,54,9,1,1,61.0,44.0,54.62466485001583
2024-01-10,Product_2,52,10,1,2,54.0,52.0,56.25706800243442
2024-01-11,Product_2,60,11,1,3,52.0,51.0,58.485196434795256
2024-01-12,Product_2,51,12,1,4,60.0,56.0,60.78424968812795
2024-01-13,Product_2,67,13,1,5,51.0,57.0,61.62538534490069
2024-01-14,Product_2,64,14,1,6,67.0,65.0,64.19033159678449
2024-01-15,Product_2,56,15,1,0,64.0,61.0,61.692381560164165
2024-01-16,Product_2,50,16,1,1,56.0,54.0,59.213436378980006
2024-01-17,Product_2,65,17,1,2,50.0,52.0,60.72856343308986
2024-01-18,Product_2,58,18,1,3,65.0,60.0,61.64601962834188
2024-01-19,Product_2,65,19,1,4,58.0,51.0,59.67500945601435
2024-01-20,Product_2,51,20,1,5,65.0,67.0,63.815081224813376
2024-01-21,Product_2,56,21,1,6,51.0,64.0,59.594974343781445
2024-01-22,Product_2,60,22,1,0,56.0,56.0,60.52060918569129
2024-01-23,Product_2,60,23,1,1,60.0,50.0,57.994167155894566
2024-01-24,Product_2,58,24,1,2,60.0,65.0,61.74358880851165
2024-01-25,Product_2,63,25,1,3,58.0,58.0,61.32502680535432
2024-01-26,Product_2,55,26,1,4,63.0,65.0,62.25374894216008
2024-01-27,Product_2,60,27,1,5,55.0,51.0,58.711419412214575
2024-01-28,Product_2,62,28,1,6,60.0,56.0,61.08910218334807
2024-01-29,Product_2,64,29,1,0,62.0,60.0,61.9752836005148
2024-01-30,Product_2,65,30,1,1,64.0,60.0,62.305871659645625
2024-01-31,Product_2,56,31,1,2,65.0,58.0,62.30482362648844
2024-02-01,Product_2,54,1,2,3,56.0,63.0,61.06851795871996
2024-02-02,Product_2,68,2,2,4,54.0,55.0,61.43461504330283
2024-02-03,Product_2,64,3,2,5,68.0,60.0,62.537772458753764
2024-02-04,Product_2,58,4,2,6,64.0,62.0,62.34260774805516
2024-02-05,Product_2,70,5,2,0,58.0,64.0,62.21561346946556
